,Grid_gCO2_2019
01/01/2019 00:00,138.1
01/01/2019 01:00,107
01/01/2019 02:00,113
01/01/2019 03:00,108.5
01/01/2019 04:00,114
01/01/2019 05:00,127
01/01/2019 06:00,135.5
01/01/2019 07:00,131.5
01/01/2019 08:00,159.5
01/01/2019 09:00,185.5
01/01/2019 10:00,199.5
01/01/2019 11:00,209.5
01/01/2019 12:00,221
01/01/2019 13:00,232
01/01/2019 14:00,244.5
01/01/2019 15:00,268.5
01/01/2019 16:00,294.5
01/01/2019 17:00,295.5
01/01/2019 18:00,295.5
01/01/2019 19:00,276.5
01/01/2019 20:00,265
01/01/2019 21:00,255
01/01/2019 22:00,254
01/01/2019 23:00,238
02/01/2019 00:00,245.5
02/01/2019 01:00,254
02/01/2019 02:00,260.5
02/01/2019 03:00,260.5
02/01/2019 04:00,264
02/01/2019 05:00,277
02/01/2019 06:00,307.5
02/01/2019 07:00,332
02/01/2019 08:00,329
02/01/2019 09:00,340
02/01/2019 10:00,341.5
02/01/2019 11:00,342.5
02/01/2019 12:00,349
02/01/2019 13:00,357.5
02/01/2019 14:00,374.5
02/01/2019 15:00,382
02/01/2019 16:00,386.5
02/01/2019 17:00,378
02/01/2019 18:00,380.5
02/01/2019 19:00,392
02/01/2019 20:00,385.5
02/01/2019 21:00,351
02/01/2019 22:00,324.5
02/01/2019 23:00,315.5
03/01/2019 00:00,316
03/01/2019 01:00,317.5
03/01/2019 02:00,328.5
03/01/2019 03:00,328.5
03/01/2019 04:00,329.5
03/01/2019 05:00,339.5
03/01/2019 06:00,351
03/01/2019 07:00,375
03/01/2019 08:00,397
03/01/2019 09:00,409
03/01/2019 10:00,407
03/01/2019 11:00,405.5
03/01/2019 12:00,400
03/01/2019 13:00,405
03/01/2019 14:00,411.5
03/01/2019 15:00,408.5
03/01/2019 16:00,397.5
03/01/2019 17:00,392
03/01/2019 18:00,394.5
03/01/2019 19:00,398.5
03/01/2019 20:00,383
03/01/2019 21:00,355.5
03/01/2019 22:00,332
03/01/2019 23:00,336.5
04/01/2019 00:00,334
04/01/2019 01:00,331
04/01/2019 02:00,334
04/01/2019 03:00,333
04/01/2019 04:00,333
04/01/2019 05:00,327.5
04/01/2019 06:00,333
